year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,utm_x_m,utm_y_m,proj_x_m,proj_y_m,t_days_since_rain,along_fault_from_p1_m,along_fault_from_p1_km,r_proj_m,r_proj_km,dist_to_fault_m,dist_to_fault_km,distance_to_segment_m,distance_to_segment_km,on_segment_projection,side_of_fault,fault_length_m,fault_length_km
2024,10,4,18,52,28.8,2024-10-04 18:52:28.800,3866,23.007581,-109.745085,9.519,1.1,241.6,103.9,109.9,262.99385924389946,628605.6125715327,2544909.5102229184,627526.1879838525,2544167.0024202466,20.786444444444445,2184.836275496122,2.184836275496122,-1310.143227863788,-1.3101432278637881,1310.143227863788,1.3101432278637881,1310.1432278637071,1.310143227863707,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,18,52,44.8,2024-10-04 18:52:44.800,3867,23.024019,-109.731071,10.448,1.8,184.7,98.7,55.9,209.4177165380236,630026.189846088,2546741.8743545543,627126.8721400662,2544747.5099091674,20.78662962962963,1480.24980969372,1.48024980969372,-3519.024396260343,-3.519024396260343,3519.024396260343,3.519024396260343,3519.024396260203,3.5190243962602032,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,19,5,53.96,2024-10-04 19:05:53.960,3868,23.010079,-109.740568,9.477,1.7,230.7,106.2,97.1,253.97033291311803,629066.197015517,2545190.0561412605,627543.127433247,2544142.3766074097,20.795763425925927,2214.7256649788583,2.2147256649788583,-1848.6139018425654,-1.8486139018425654,1848.6139018425654,1.8486139018425654,1848.6139018426916,1.8486139018426915,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,19,47,56.22,2024-10-04 19:47:56.220,3869,23.022235,-109.718449,10.583,1.8,199.9,109.7,69.8,228.0221480470702,631321.4348029745,2546555.6130993753,627629.8660076259,2544016.2799528725,20.82495625,2367.774502187176,2.367774502187176,-4480.613016063646,-4.4806130160636455,4480.613016063646,4.4806130160636455,4480.6130160635785,4.480613016063579,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,19,50,58.8,2024-10-04 19:50:58.800,3870,23.014026,-109.752238,8.552,1.6,178.0,89.7,104.4,199.32408283998197,627866.405258659,2545616.8299599807,626958.4887887487,2544992.298083667,20.827069444444444,1183.1400599783035,1.1831400599783035,-1101.9765790914096,-1.1019765790914096,1101.9765790914096,1.1019765790914096,1101.9765790914246,1.1019765790914247,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,20,19,27.94,2024-10-04 20:19:27.940,3871,23.029443,-109.740804,10.588,1.6,200.1,116.4,89.2,231.49291565834147,629023.5806570873,2547333.8047348415,626528.4496624175,2545617.4697047006,20.846851157407407,424.34284996683795,0.42434284996683796,-3028.4459077635674,-3.0284459077635675,3028.4459077635674,3.0284459077635675,3028.445907763604,3.028445907763604,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,20,35,52.56,2024-10-04 20:35:52.560,3872,23.005566,-109.749292,9.738,1.8,191.9,94.5,109.0,213.9061943937108,628176.3284685777,2544682.7273090594,627494.1981575431,2544213.507796957,20.85824722222222,2128.3907349253127,2.1283907349253126,-827.930378576315,-0.827930378576315,827.930378576315,0.827930378576315,827.9303785763682,0.8279303785763682,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,20,55,47.36,2024-10-04 20:55:47.360,3873,23.010962,-109.746981,9.056,1.7,242.0,128.6,122.4,274.0473681683515,628408.0854376004,2545282.186406638,627288.7285898305,2544512.210251815,20.872075925925927,1765.8429452561359,1.765842945256136,-1358.6106990766993,-1.3586106990766993,1358.6106990766993,1.3586106990766993,1358.610699076533,1.358610699076533,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,21,8,38.16,2024-10-04 21:08:38.160,3874,23.027755,-109.73217,9.617,1.2,181.7,110.5,69.1,212.66203234240004,629909.9825056775,2547154.5452750414,626896.857085075,2545081.8954940736,20.88099722222222,1074.391897468476,1.0743918974684759,-3657.1576278342345,-3.6571576278342346,3657.1576278342345,3.6571576278342346,3657.1576278343036,3.6571576278343034,True,left,2767.9951082135894,2.7679951082135896
2024,10,4,21,46,23.52,2024-10-04 21:46:23.520,3875,23.022805,-109.7368,12.263,1.8,202.2,106.0,65.9,228.2998904949365,629440.2361400761,2546602.3867117097,627003.8001610191,2544926.426440091,20.907216666666667,1263.09125687033,1.26309125687033,-2957.2052874441115,-2.9572052874441117,2957.2052874441115,2.9572052874441117,2957.205287444198,2.957205287444198,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,0,16,34.87,2024-10-05 00:16:34.870,3876,23.015896,-109.751131,8.813,1.5,180.6,101.6,125.9,207.2170842377626,627978.0947112532,2545824.839734179,626897.2356306231,2545081.3451815103,21.011514699074077,1075.0598350772327,1.0750598350772327,-1311.8843325645425,-1.3118843325645426,1311.8843325645425,1.3118843325645426,1311.8843325646312,1.3118843325646312,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,0,16,42.82,2024-10-05 00:16:42.820,3877,23.014899,-109.751457,8.752,1.6,179.5,93.8,108.0,202.5307137201664,627945.624728631,2545714.1688429923,626938.482572342,2545021.38222503,21.011606712962962,1147.8394087985473,1.1478394087985473,-1222.4109869442693,-1.2224109869442694,1222.4109869442693,1.2224109869442694,1222.4109869441809,1.2224109869441808,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,0,37,14.25,2024-10-05 00:37:14.250,3878,23.018746,-109.736914,10.989,1.9,193.5,100.1,72.2,217.8583484744158,629432.4282185094,2546152.878334183,627211.1831991032,2544624.942267709,21.025859375,1629.0153346267505,1.6290153346267504,-2696.018927876545,-2.696018927876545,2696.018927876545,2.696018927876545,2696.018927876503,2.6960189278765028,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,0,38,22.67,2024-10-05 00:38:22.670,3879,23.017639,-109.737679,11.327,2.2,196.5,101.9,73.0,221.35008470746064,629355.0834366032,2546029.636934408,627243.8863234833,2544577.3999302103,21.026651273148147,1686.719478317188,1.6867194783171882,-2562.4491344817593,-2.5624491344817595,2562.4491344817593,2.5624491344817595,2562.449134481841,2.562449134481841,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,0,57,49.78,2024-10-05 00:57:49.780,3880,23.027338,-109.73776,10.752,1.6,186.0,109.1,67.3,215.635827264395,629337.5283421692,2547103.42707748,626736.8583239022,2545314.494526955,21.04015949074074,792.0766239281087,0.7920766239281087,-3156.5430797379213,-3.1565430797379213,3156.5430797379213,3.1565430797379213,3156.543079737994,3.156543079737994,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,1,13,11.05,2024-10-05 01:13:11.050,3881,23.028276,-109.73846,11.635,1.8,208.2,118.2,78.6,239.41278161368075,629264.898931674,2547206.663251232,626665.3258402508,2545418.4852478513,21.050822337962963,665.8586923577402,0.6658586923577402,-3155.211693282189,-3.155211693282189,3155.211693282189,3.155211693282189,3155.211693282286,3.155211693282286,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,1,16,44.85,2024-10-05 01:16:44.850,3882,23.022074,-109.723991,10.44,1.9,176.5,136.8,72.4,223.30806075912264,630753.6316722824,2546532.828949912,627458.1309813405,2544265.9406423243,21.053296875,2064.75077521061,2.06475077521061,-3999.8884238283913,-3.9998884238283914,3999.8884238283913,3.9998884238283914,3999.8884238283263,3.999888423828326,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,1,46,3.85,2024-10-05 01:46:03.850,3883,23.025193,-109.739046,10.337,1.6,184.5,93.7,68.5,206.9297948580629,629207.7860951964,2546864.7999278978,626806.6093746307,2545213.093573454,21.073655671296297,915.15124539269,0.91515124539269,-2914.4096357060685,-2.9144096357060683,2914.4096357060685,2.9144096357060683,2914.4096357061444,2.914409635706144,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,1,53,57.08,2024-10-05 01:53:57.080,3884,23.028367,-109.73042,10.554,1.3,197.3,131.7,64.4,237.21757944975323,630088.7317710253,2547223.8590092217,626921.9049290672,2545045.482060334,21.079132870370373,1118.5884204691886,1.1185884204691885,-3843.7115368339028,-3.8437115368339025,3843.7115368339028,3.8437115368339025,3843.711536833982,3.843711536833982,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,3,10,17.48,2024-10-05 03:10:17.480,3885,23.018508,-109.726416,11.711,1.4,192.5,128.9,66.5,231.67101674572933,630508.5439965389,2546135.841753455,627564.7777599391,2544110.902332152,21.13214675925926,2252.9273226509545,2.2529273226509545,-3572.9734557777765,-3.5729734557777766,3572.9734557777765,3.5729734557777766,3572.97345577771,3.57297345577771,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,3,18,48.65,2024-10-05 03:18:48.650,3887,23.022447,-109.730371,10.913,1.6,193.2,109.7,52.1,222.1718479015737,630099.4351854934,2546568.445696929,627231.3777332345,2544595.5843584724,21.138063078703702,1664.6482694415206,1.6646482694415206,-3481.0825055194987,-3.4810825055194985,3481.0825055194987,3.4810825055194985,3481.082505519599,3.4810825055195993,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,3,40,19.25,2024-10-05 03:40:19.250,3888,23.014492,-109.724854,11.57,1.7,229.5,116.0,54.1,257.1502479096608,630672.4958771477,2545692.586310338,627824.4089338144,2543733.462160074,21.153000578703704,2711.0424063861965,2.7110424063861966,-3456.843455080486,-3.456843455080486,3456.843455080486,3.456843455080486,3456.8434550805728,3.456843455080573,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,4,12,14.58,2024-10-05 04:12:14.580,3889,23.008128,-109.740503,9.661,1.4,206.1,96.9,94.1,227.74288133770503,629074.715311631,2544974.1015161704,627646.700061639,2543991.8073591213,21.17516875,2397.477923192644,2.397477923192644,-1733.2424427018404,-1.7332424427018405,1733.2424427018404,1.7332424427018405,1733.242442701737,1.733242442701737,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,4,37,53.87,2024-10-05 04:37:53.870,3892,23.015651,-109.73217,11.977,1.5,200.0,106.5,57.3,226.58828301569343,629921.5816668053,2545814.402997684,627526.3410343772,2544166.7799222483,21.19298460648148,2185.1063307168697,2.1851063307168697,-2907.204754733113,-2.907204754733113,2907.204754733113,2.907204754733113,2907.2047547331895,2.9072047547331894,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,4,43,36.21,2024-10-05 04:43:36.210,3893,23.022986,-109.738208,12.271,1.3,204.6,119.9,69.8,237.14377495519463,629295.7692886518,2546621.183122099,626948.62189982,2545006.642124868,21.196946875,1165.7300911356022,1.165730091135602,-2848.831953035922,-2.8488319530359223,2848.831953035922,2.8488319530359223,2848.8319530360013,2.8488319530360013,True,left,2767.9951082135894,2.7679951082135896
2024,10,5,4,50,4.56,2024-10-05 04:50:04.560,3895,23.028308,-109.721737,11.781,1.8,190.4,122.1,55.5,226.18702438468924,630978.6035122098,2547225.067199544,627207.1603173576,2544630.7905530115,21.201441666666668,1621.9170236642744,1.6219170236642744,-4577.559949442577,-4.577559949442577,4577.559949442577,4.577559949442577,4577.559949442651,4.577559949442651,True,left,2767.9951082135894,2.7679951082135896
