year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m,in_tule,utm_x_m,utm_y_m,along_fault_m,r_proj_m,dist_to_fault_m,d_euclid_ref_m,t_days_since_rain,distance_km,t_days,t_seconds,Dmin_m2s,selected_envelope
2024,10,12,7,30,57.98,2024-10-12 07:30:57.980,4630,23.00588,-109.773047,8.627,1.2,191.0,88.7,151.0,210.5912866193661,True,625741.290630078,2544696.9152822806,-647.324459859003,1170.2519409673744,1170.2519409673744,1337.3550619299483,28.313171064814817,1.1702519409673744,28.313171064814817,2446257.98,0.1399576022372247,True
2024,10,12,8,57,29.41,2024-10-12 08:57:29.410,4662,23.005023,-109.771802,8.619,1.6,191.1,86.3,150.1,209.68285576078935,True,625869.6901189089,2544603.0989851616,-497.2605309922245,1117.6330889251956,1117.6330889251956,1223.2627506562696,28.373257060185185,1.1176330889251955,28.373257060185185,2451449.41,0.1273842034395148,False
2024,10,12,10,32,33.49,2024-10-12 10:32:33.490,4680,23.011336,-109.768368,9.0,1.4,193.5,96.8,138.5,216.36194212476465,True,626215.7817834355,2545305.0130661675,-879.4229888651132,434.6875031267123,434.6875031267123,980.9882867389316,28.439276504629632,0.4346875031267123,28.439276504629632,2457153.49,0.019224808924587722,False
2024,10,12,10,58,41.68,2024-10-12 10:58:41.680,4685,23.006187,-109.76613,9.212,1.3,178.6,89.8,131.9,199.90497742677644,True,626449.9528310117,2544736.856673816,-278.6063813401996,563.7501616101165,563.7501616101165,628.8368313313981,28.457426851851853,0.5637501616101165,28.457426851851853,2458721.68,0.03231498783500299,False
2024,10,19,4,11,8.6,2024-10-19 04:11:08.600,5087,23.016504,-109.768254,8.083,1.1,171.2,84.5,130.2,190.91801905530028,True,626222.6557247336,2545877.3008148535,-1347.0340859432788,104.68692698409689,104.68692698409689,1351.095918643239,35.17440509259259,0.10468692698409689,35.17440509259259,3039068.6,0.0009015387709061283,False
2024,10,19,4,40,15.1,2024-10-19 04:40:15.100,5091,23.014331,-109.772355,10.213,1.5,203.0,94.3,153.4,223.83362124578156,True,625804.3782320672,2545633.183762605,-1382.9601988419067,587.6553633045842,587.6553633045842,1502.636928070613,35.19461921296296,0.5876553633045841,35.19461921296296,3040815.1,0.028391961913488493,False
2024,10,19,9,14,50.45,2024-10-19 09:14:50.450,5124,23.001731,-109.771737,8.693,1.4,99.1,77.6,68.5,125.8672713615418,True,625879.4061142065,2544238.6726313583,-191.50390798055545,1316.1623195073523,1316.1623195073523,1330.0214276705465,35.38530613425926,1.3161623195073524,35.38530613425926,3057290.45,0.141651838418801,True
2024,11,3,11,49,14.81,2024-11-03 11:49:14.810,5664,22.998527,-109.763289,8.133,1.9,188.9,96.2,146.2,211.98502305587533,True,626748.2914176643,2543891.212439846,587.1981222291297,797.2081756776288,797.2081756776288,990.1224722814188,50.49253252314814,0.7972081756776288,50.49253252314814,4362554.81,0.036420222956880924,False
2024,12,2,12,44,41.74,2024-12-02 12:44:41.740,6126,23.006201,-109.766081,8.685,1.7,187.0,94.8,144.8,209.6569579098199,True,626454.9619626406,2544738.448999359,-277.0794307486425,558.7207160939386,558.7207160939386,623.652026002093,79.53103865740741,0.5587207160939386,79.53103865740741,6871481.74,0.011357406248180013,False
2024,12,2,13,13,9.17,2024-12-02 13:13:09.170,6127,23.012649,-109.772087,6.728,2.2,174.6,82.4,173.7,193.06713858137536,True,625833.4053269526,2545447.1867789645,-1213.266872884301,669.1515306147237,669.1515306147237,1385.5613576318003,79.5508005787037,0.6691515306147237,79.5508005787037,6873189.17,0.016286608728827826,False
2025,1,1,17,21,45.82,2025-01-01 17:21:45.820,15,23.009977,-109.763737,11.396,1.5,161.1,105.0,115.8,192.2971918671721,True,626691.6803432788,2545158.543942193,-489.03760439692746,125.60515951517468,125.60515951517468,504.91032333585554,109.72344699074074,0.12560515951517467,109.72344699074074,9480105.82,0.00041604641330977453,False
2025,1,10,18,22,40.4,2025-01-10 18:22:40.400,176,22.997998,-109.775871,7.901,2.2,197.6,153.8,181.1,250.40007987219172,True,625459.1358294695,2543821.8206384564,-86.24341280685633,1898.6680485564077,1898.6680485564077,1900.625761390593,118.76574537037035,1.8986680485564078,118.76574537037035,10261360.399999999,0.08782803200755424,True
2025,1,13,9,3,50.44,2025-01-13 09:03:50.440,222,23.006726,-109.783,6.419,1.5,153.9,130.6,221.1,201.8454111442715,True,624720.3962426661,2544782.077762353,-1296.069196479023,1963.1001389024789,1963.1001389024789,2352.3514867937383,121.37766712962964,1.963100138902479,121.37766712962964,10487030.440000001,0.09186971892109172,True
2025,1,13,9,10,41.88,2025-01-13 09:10:41.880,223,23.005052,-109.778939,7.103,2.8,166.2,148.7,215.0,223.01150194552744,True,625138.1629345813,2544600.198518641,-909.455011615628,1721.9807903851297,1721.9807903851297,1947.389601648365,121.38242916666668,1.7219807903851296,121.38242916666668,10487441.88,0.07068496484615074,False
2025,1,14,13,0,50.98,2025-01-14 13:00:50.980,253,22.997249,-109.770313,2.382,1.7,127.5,149.2,205.1,196.25720368944425,True,626029.5233797149,2543743.660154102,301.41310016041234,1473.0233061437712,1473.0233061437712,1503.5449834943536,122.54225671296297,1.4730233061437712,122.54225671296297,10587650.98,0.05123416101790329,False
2025,1,23,6,42,39.33,2025-01-23 06:42:39.330,331,23.004218,-109.762329,5.398,2.1,204.7,126.1,255.9,240.42316860069872,True,626841.3714331817,2544522.137708123,120.13192919141116,362.9504702071829,362.9504702071829,382.3149542391265,131.279621875,0.3629504702071829,131.279621875,11342559.33,0.002903512337713625,False
2025,1,24,1,39,18.87,2025-01-24 01:39:18.870,357,22.994088,-109.762695,8.836,1.9,233.4,146.2,195.4,275.40878707840824,True,626813.3230586092,2543400.25014686,1028.5569440717725,1021.8756585044076,1021.8756585044076,1449.8824947705518,132.06896840277776,1.0218756585044075,132.06896840277776,11410758.869999997,0.022878186134254384,False
2025,1,29,17,9,35.86,2025-01-29 17:09:35.860,375,23.008238,-109.773022,4.0,1.7,168.6,109.1,241.4,200.82024300353785,True,625741.6674929995,2544958.0087425155,-862.2252974256513,1021.9698887283972,1021.9698887283972,1337.106920552087,137.71499837962963,1.0219698887283972,137.71499837962963,11898575.860000001,0.021944274376957507,False
2025,1,29,18,28,26.62,2025-01-29 18:28:26.620,376,23.007857,-109.763249,1.823,2.0,196.9,164.8,233.7,256.76574927353533,True,626743.6764963699,2544924.2440463216,-266.53016271139984,215.55225249874968,215.55225249874968,342.7843362702707,137.76975254629627,0.21555225249874968,137.76975254629627,11903306.619999997,0.00097583753490853,False
2025,2,1,12,36,34.88,2025-02-01 12:36:34.880,400,23.005011,-109.767,0.508,2.6,214.1,141.3,121.2,256.5238780308765,True,626361.8787622504,2544605.9022850967,-220.62821363712104,710.5310376903094,710.5310376903094,743.9967501098208,140.52540370370372,0.7105310376903095,140.52540370370372,12141394.88,0.010395312081334509,False
2025,2,1,14,18,36.17,2025-02-01 14:18:36.170,402,23.010498,-109.764152,0.613,1.7,218.8,152.7,137.5,266.8159103202056,True,626648.6602783386,2545215.869214639,-560.6488912149742,128.56090793735493,128.56090793735493,575.2000402210148,140.5962519675926,0.12856090793735492,140.5962519675926,12147516.17,0.0003401499289726207,False
2025,2,5,22,2,54.84,2025-02-05 22:02:54.840,447,23.012026,-109.765129,0.464,1.9,167.6,158.9,131.0,230.9523110947366,True,626547.1017323744,2545384.2020094027,-756.8950457720022,116.8342343737225,116.8342343737225,765.859222465784,144.91869027777778,0.11683423437372249,144.91869027777778,12520974.84,0.0002725474353260085,False
2025,2,13,20,51,52.32,2025-02-13 20:51:52.320,495,23.009229,-109.766838,1.79,1.7,207.5,177.1,237.7,272.8015029284113,True,626374.5537331115,2545073.0493980134,-598.3264717046545,435.3381855929525,435.3381855929525,739.941823779346,152.86935555555556,0.4353381855929525,152.86935555555556,13207912.32,0.0035872311089691572,False
2025,2,13,23,28,35.72,2025-02-13 23:28:35.720,496,23.003133,-109.768132,6.714,1.5,216.5,142.6,301.0,259.24314841476524,True,626247.6025073586,2544396.9990219036,-113.27788366647268,923.0764268663684,923.0764268663684,930.0010584748474,152.97819120370372,0.9230764268663684,152.97819120370372,13217315.72,0.01611654945464944,False
2025,2,15,6,44,22.44,2025-02-15 06:44:22.440,524,23.009727,-109.762712,2.211,1.5,154.7,133.1,174.9,204.0776812882781,True,626796.9669823867,2545131.751013045,-407.29303229585935,54.04425986346311,54.04425986346311,410.8629895487612,154.28081527777778,0.05404425986346311,154.28081527777778,13329862.44,5.477892283841021e-05,False
2025,2,15,12,16,11.05,2025-02-15 12:16:11.050,542,22.994865,-109.772249,3.768,1.8,118.8,83.8,236.2,145.38184205739037,True,625833.2931672324,2543478.046920909,409.0402571264891,1785.2300982247166,1785.2300982247166,1831.491314627928,154.51123900462963,1.7852300982247167,154.51123900462963,13349771.05,0.05968354235572136,False
2025,2,16,6,9,28.8,2025-02-16 06:09:28.800,549,22.992287,-109.770947,5.661,2.2,136.0,88.6,126.2,162.31438630016748,True,625969.1427108209,2543193.7352836453,720.2751734759269,1834.434086088966,1834.434086088966,1970.77262557882,155.25658333333334,1.834434086088966,155.25658333333334,13414168.8,0.06271630516914808,False
2025,2,19,7,11,9.77,2025-02-19 07:11:09.770,572,22.999396,-109.755705,11.803,1.8,121.9,104.6,108.3,160.62618092951098,True,627524.830670813,2543994.0031606033,942.603251431763,99.16352231290016,99.16352231290016,947.8049872031866,158.29941863425924,0.09916352231290015,158.29941863425924,13677069.769999998,0.00017974252385313832,False
2025,2,19,13,25,58.52,2025-02-19 13:25:58.520,583,23.000883,-109.75874,11.38,2.4,187.0,128.8,149.2,227.064836555553,True,627212.3528104522,2544156.00381079,632.0381728524674,264.8015488754592,264.8015488754592,685.2679127388992,158.5597050925926,0.2648015488754592,158.5597050925926,13699558.52,0.001279600729185436,False
2025,2,24,22,54,14.12,2025-02-24 22:54:14.120,791,22.999373,-109.76014,11.244,2.0,207.9,158.8,160.1,261.61011066088406,True,627070.2698994068,2543987.6056386246,690.2573475624005,477.3010211002962,477.3010211002962,839.20883611129,163.95433009259258,0.4773010211002962,163.95433009259258,14165654.12,0.004020574390944282,False
2025,2,25,2,41,59.24,2025-02-25 02:41:59.240,796,22.994055,-109.757104,11.005,1.7,199.0,153.0,182.0,251.01792764661252,True,627386.4470993569,2543401.442650075,1352.3855498604646,549.0039822328106,549.0039822328106,1459.572556599663,164.1124912037037,0.5490039822328106,164.1124912037037,14179319.24,0.0053141721299499465,False
2025,2,25,12,13,55.3,2025-02-25 12:13:55.300,837,23.000604,-109.768677,11.136,1.9,219.9,163.8,190.2,274.20147702009194,True,626194.0941052525,2544116.5248645255,87.47901833984213,1126.1172315084889,1126.1172315084889,1129.5098927189815,164.50966782407409,1.1261172315084889,164.50966782407409,14213635.3,0.02230499081224392,False
2025,2,25,12,35,12.23,2025-02-25 12:35:12.230,839,23.007914,-109.777555,10.012,1.7,217.7,166.6,229.8,274.1329057227534,True,625277.3719104643,2544918.2540922863,-1092.6054111623082,1427.032628771512,1427.032628771512,1797.2781387641949,164.5244471064815,1.427032628771512,164.5244471064815,14214912.23,0.035814890915765646,False
2025,2,25,16,4,2.37,2025-02-25 16:04:02.370,847,23.001506,-109.77015,8.69,2.0,221.9,158.8,200.0,272.8681916237215,True,626042.2773769181,2544215.1248578313,-79.79762578790883,1195.3184021012935,1195.3184021012935,1197.9790246424925,164.669471875,1.1953184021012935,164.669471875,14227442.37,0.025106165346603853,False
2025,2,26,9,37,57.34,2025-02-26 09:37:57.340,869,23.010038,-109.766317,11.717,2.6,159.9,117.1,157.0,198.1928858460868,True,626427.1976402132,2545163.0694818785,-642.6585560811286,340.94717569868743,340.94717569868743,727.4991383645707,165.40135810185186,0.34094717569868743,165.40135810185186,14290677.34,0.0020335805968332015,False
2025,3,6,5,35,31.12,2025-03-06 05:35:31.120,932,23.005178,-109.759351,10.891,2.5,158.3,84.7,96.6,179.53545610825736,True,627145.7022646387,2544631.007126936,202.91042785541904,50.51243557162232,50.51243557162232,209.10319911432845,173.23299907407406,0.05051243557162232,173.23299907407406,14967331.12,4.261792110631972e-05,False
2025,3,6,6,27,25.07,2025-03-06 06:27:25.070,935,22.997437,-109.759172,10.066,2.0,183.1,139.3,210.6,230.065425477189,True,627171.3027081324,2543774.0952429436,923.427288932972,515.0647066208419,515.0647066208419,1057.3597353561902,173.26904016203704,0.5150647066208419,173.26904016203704,14970445.07,0.0044302565950100695,False
2025,3,10,4,16,54.54,2025-03-10 04:16:54.540,949,22.999245,-109.754688,5.177,1.7,180.1,121.6,124.8,217.30754703875337,True,627629.214054197,2543978.1697672443,1014.80637298234,22.135629246153712,22.135629246153712,1015.0477627814838,177.17840902777778,0.022135629246153712,177.17840902777778,15308214.54,8.00201226672865e-06,False
2025,3,22,6,51,33.77,2025-03-22 06:51:33.770,1000,22.996358,-109.757576,4.083,2.3,195.4,120.8,509.2,229.72548835512353,True,627335.9054091279,2543656.01590153,1113.9992271293158,446.3688813055986,446.3688813055986,1200.099769287006,189.28580752314815,0.4463688813055986,189.28580752314815,16354293.77,0.0030457624921031916,False
2025,3,22,7,22,43.96,2025-03-22 07:22:43.960,1001,22.994523,-109.766146,1.822,1.9,183.6,102.1,130.4,210.0794373564438,True,626459.1811466228,2543445.431938063,790.6261113097755,1288.046293441634,1288.046293441634,1511.3414246733098,189.30745324074076,1.288046293441634,189.30745324074076,16356163.96,0.025358379539757493,False
2025,3,23,2,22,9.42,2025-03-23 02:22:09.420,1012,22.998415,-109.754647,4.992,1.8,195.1,89.7,156.2,214.7326244425844,True,627634.1970499295,2543886.3095312766,1093.3139043409058,70.09082415235002,70.09082415235002,1095.5583129416302,190.0987201388889,0.07009082415235002,190.0987201388889,16424529.42,7.477723569318027e-05,False
2025,3,24,13,32,18.42,2025-03-24 13:32:18.420,1018,22.990908,-109.764217,7.58,1.7,171.2,124.2,190.5,211.50669020151585,True,626660.2806802087,2543046.8526424626,1232.9855818521344,1348.2507460278018,1348.2507460278018,1827.0286038318532,191.56410208333332,1.348250746027802,191.56410208333332,16551138.42,0.02745702482869641,False
2025,3,30,2,50,1.71,2025-03-30 02:50:01.710,1087,23.014421,-109.767155,10.941,1.6,182.1,114.3,153.3,214.9997674417347,True,626337.2279400796,2545647.6228577993,-1092.870425914072,140.45828992235067,140.45828992235067,1101.8594733655996,197.11807534722223,0.14045828992235068,197.11807534722223,17031001.71,0.0002895973405417372,False
2025,3,30,17,8,34.0,2025-03-30 17:08:34.000,1093,23.012695,-109.764941,12.726,1.7,103.2,97.2,89.0,141.7676973079552,True,626565.7454065315,2545458.4346412397,-807.4890976826888,59.40330083799728,59.40330083799728,809.6711647495249,197.7142824074074,0.05940330083799728,197.7142824074074,17082514.0,5.1642752209212417e-05,False
