year,month,day,hour,minute,second,datetime,event_id,latitude,longitude,depth_km,magnitude,err_x_m,err_y_m,err_z_m,err_h_m
2024,9,3,13,30,1.71,2024-09-03 13:30:01.710,136,23.016414,-109.72806,11.294,2.0,197.6,103.2,42.7,222.92599668948435
2024,9,3,13,32,54.0,2024-09-03 13:32:54.000,137,23.026733,-109.742122,11.677,1.6,195.8,100.2,79.1,219.94926687761432
2024,9,3,13,32,59.17,2024-09-03 13:32:59.170,138,23.01733,-109.732503,11.753,1.5,199.2,103.3,56.7,224.39146596963084
2024,9,3,13,45,0.4,2024-09-03 13:45:00.400,139,23.018081,-109.728499,10.805,2.5,191.7,100.8,40.6,216.5860798851117
2024,9,3,13,49,55.91,2024-09-03 13:49:55.910,140,23.017596,-109.722998,11.167,1.8,193.4,110.8,51.2,222.89055610321404
2024,9,3,13,50,42.55,2024-09-03 13:50:42.550,141,23.023417,-109.73859,11.868,1.9,199.0,103.0,71.4,224.07588000496617
2024,9,3,13,52,15.22,2024-09-03 13:52:15.220,142,23.020512,-109.732129,11.354,1.8,196.7,103.4,51.9,222.22162361030485
2024,9,3,13,54,44.35,2024-09-03 13:54:44.350,143,23.01615,-109.730941,10.865,1.9,199.0,116.0,53.2,230.3410514867031
2024,9,3,14,6,35.9,2024-09-03 14:06:35.900,144,23.017356,-109.727922,11.021,2.5,194.8,103.1,41.4,220.40111161244175
2024,9,3,14,7,43.51,2024-09-03 14:07:43.510,145,23.01861,-109.72592,10.584,2.3,191.9,101.8,55.1,217.22994729088344
2024,9,3,14,10,7.99,2024-09-03 14:10:07.990,146,23.028855,-109.700505,9.222,1.9,163.4,131.1,107.6,209.49169434610053
2024,9,3,14,11,12.73,2024-09-03 14:11:12.730,147,23.027852,-109.72111,10.429,2.1,169.2,116.4,52.5,205.37185785788665
2024,9,3,14,12,9.59,2024-09-03 14:12:09.590,148,23.020158,-109.732544,10.78,2.3,188.9,99.1,57.2,213.3167128942315
2024,9,3,14,14,33.53,2024-09-03 14:14:33.530,149,23.021938,-109.725952,11.43,2.0,194.4,134.8,64.3,236.56373348423463
